;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_professionalism;Academic Training;;;;;;;;;;;;;
army_decision_making;Army Professionalism;;;;;;;;;;;;;
army_risk_management;Force Structure;;;;;;;;;;;;;
army_nco_training;Army Promotion Principles;;;;;;;;;;;;;
great_war_experience;Army Decision Making;;;;;;;;;;;;;
army_leadership_7;Task Division & Heirachy;;;;;;;;;;;;;
army_leadership_8;Army Independent Command;;;;;;;;;;;;;
army_leadership_9;Grand Army 1;;;;;;;;;;;;;
army_leadership_10;Grand Army 2;;;;;;;;;;;;;
army_leadership_11;Grand Army 3;;;;;;;;;;;;;
army_leadership_12;Grand Army 4;;;;;;;;;;;;;
private_banks;Banking Houses;;;;;;;;;;;;;
stock_exchange;Central Banks;;;;;;;;;;;;;
business_banks;Insurance Companies;;;;;;;;;;;;;
investment_banks;Stock Exchanges;;;;;;;;;;;;;
bank_inspection_board;Private Banks;;;;;;;;;;;;;
mutual_funds;Merchant Banks;;;;;;;;;;;;;
financial_institutions_7;Saving Banks;;;;;;;;;;;;;
financial_institutions_8;Mutual Savings Banks;;;;;;;;;;;;;
no_standard;No Standard;;;;;;;;;;;;;
ad_hoc_money_bill_printing;Silver Standard;;;;;;;;;;;;;
private_bank_money_bill_printing;Gold Standard;;;;;;;;;;;;;
central_bank_money_bill_printing;Bimetallic Standard;;;;;;;;;;;;;
modern_central_bank_system;Private Bank Money Bill Printing;;;;;;;;;;;;;
market_determined_exchange_rates;Central Bank Money Bill Printing;;;;;;;;;;;;;
monetary_system_7;Fixed Foreign Exchange Rates;;;;;;;;;;;;;
monetary_system_8;Fiat Money System;;;;;;;;;;;;;
early_classical_theory_and_critique;Salamanca School of Economics;;;;;;;;;;;;;
late_classical_theory;Mercantilism;;;;;;;;;;;;;
collectivist_theory;Protectionism & Cameralism;;;;;;;;;;;;;
the_historical_theory;Economic Physiocracy;;;;;;;;;;;;;
neoclassical_theory;Theory of Value;;;;;;;;;;;;;
keynesian_economics;Classical Theory;;;;;;;;;;;;;
economic_thought_and_critique_7;Saint-Simonianism;;;;;;;;;;;;;
economic_thought_and_critique_8;Utopian Socialism;;;;;;;;;;;;;
freedom_of_trade;Market Rights;;;;;;;;;;;;;
market_structure;Patent & Trademark Systems;;;;;;;;;;;;;
business_regulations;Joint Stock Companies;;;;;;;;;;;;;
market_regulations;Governmental Bonds;;;;;;;;;;;;;
economic_responsibility;Postal Saving System;;;;;;;;;;;;;
government_interventionism;Market Structure;;;;;;;;;;;;;
market_functionality_7;Freedom of Trade;;;;;;;;;;;;;
market_functionality_8;Limited Partnership;;;;;;;;;;;;;
guild_based_production;Guild Based Production;;;;;;;;;;;;;
organized_factories;Free Labour;;;;;;;;;;;;;
scientific_management;Merchant-based Production;;;;;;;;;;;;;
time_saving_measures;Invention-driven Production;;;;;;;;;;;;;
management_strategy;Cottage Industry;;;;;;;;;;;;;
organizational_development;Work Specialisation;;;;;;;;;;;;;
tech_organization_7;Division of Labour;;;;;;;;;;;;;
tech_organization_8;Organized Manufactories;;;;;;;;;;;;;
classicism_n_early_romanticism;Mannerism & Late Renaissance;;;;;;;;;;;;;
romanticism;Early Baroque;;;;;;;;;;;;;
realism;High Baroque;;;;;;;;;;;;;
impressionism;Rococo;;;;;;;;;;;;;
expressionism;Classicism;;;;;;;;;;;;;
mass_culture_n_the_avant_garde;Neoclassicism;;;;;;;;;;;;;
aesthetics_7;Pre-Romantic Movement;;;;;;;;;;;;;
aesthetics_8;Romanticism;;;;;;;;;;;;;
late_enlightenment_philosophy;Renaissance Philosophy;;;;;;;;;;;;;
idealism;Cartesianism;;;;;;;;;;;;;
empiricism;Rationalism;;;;;;;;;;;;;
analytic_philosophy;Empiricism;;;;;;;;;;;;;
phenomenology_n_hermeneutic;Enlightenment Philosophy;;;;;;;;;;;;;
anti__rationalism;Modern Political Philosophy;;;;;;;;;;;;;
philosophy_7;Transcendental Idealism;;;;;;;;;;;;;
philosophy_8;Absolute Idealism;;;;;;;;;;;;;
malthusian_thought;Aristotelianism;;;;;;;;;;;;;
positivism;Renaissance Humanism;;;;;;;;;;;;;
functionalism;Social Contract Theory;;;;;;;;;;;;;
biologism;Scientific Rationality;;;;;;;;;;;;;
social_science;Sciences of Man;;;;;;;;;;;;;
social_alienation;Enlightenment Ideals;;;;;;;;;;;;;
social_thought_7;Reform Movements;;;;;;;;;;;;;
social_thought_8;Malthusianism;;;;;;;;;;;;;
enlightenment_thought;Sovereign States;;;;;;;;;;;;;
ideological_thought;Divine Right of Kings;;;;;;;;;;;;;
state_n_government;State of Nature;;;;;;;;;;;;;
nationalism_n_imperialism;Rights & Liberty;;;;;;;;;;;;;
revolution_n_counterrevolution;Law & Jurisprudence;;;;;;;;;;;;;
mass_politics;The Constitution;;;;;;;;;;;;;
political_thought_7;Republicanism & Revolutionism;;;;;;;;;;;;;
political_thought_8;The Rights of Man;;;;;;;;;;;;;
introspectionism;Theory of Soul;;;;;;;;;;;;;
associationism;Mind–body Problem;;;;;;;;;;;;;
phenomenalism;Theory of Consciousness;;;;;;;;;;;;;
experimental_psychology;Ethnology;;;;;;;;;;;;;
psychoanalysis;Sensationalism;;;;;;;;;;;;;
behaviorism;Associationism;;;;;;;;;;;;;
psychology_7;Early Anthropology;;;;;;;;;;;;;
psychology_8;Psychiatry;;;;;;;;;;;;;
piston_steam_engine;Water Wheel Power;;;;;;;;;;;;;
high_pressure_steam_engine;Early Steam Engine;;;;;;;;;;;;;
compound_steam_engines;Improved Water Wheel Design;;;;;;;;;;;;;
steam_turbine;Water Turbine;;;;;;;;;;;;;
combustion_engine;Practical Steam Engine;;;;;;;;;;;;;
electrical_power_generation;Watt Steam Engine;;;;;;;;;;;;;
tech_power_7;High-pressure Steam Engine;;;;;;;;;;;;;
tech_power_8;Compound Steam Engine;;;;;;;;;;;;;
mechanical_production;Simple Machinery;;;;;;;;;;;;;
interchangeable_parts;Semi-automatisation;;;;;;;;;;;;;
semi_automatization;Complex Machinery;;;;;;;;;;;;;
pneumatic_and_hydraulics;Putting-out System;;;;;;;;;;;;;
assembly_line;Mechanised Production;;;;;;;;;;;;;
shift_work;Machine Tools;;;;;;;;;;;;;
mechanization_7;Manufactory;;;;;;;;;;;;;
mechanization_8;Interchangeable Parts;;;;;;;;;;;;;
mechanized_mining;Cementation Process;;;;;;;;;;;;;
puddling;Coke;;;;;;;;;;;;;
hot_blast;Steam Pump;;;;;;;;;;;;;
bessemer_process;Crucible Process;;;;;;;;;;;;;
advanced_metallurgy;Steam Cylinder Blower;;;;;;;;;;;;;
electric_furnace;Hydraulic Press;;;;;;;;;;;;;
metallurgy_7;Puddling Process;;;;;;;;;;;;;
metallurgy_8;Metalworking Machine;;;;;;;;;;;;;
experimental_railroad;Paved Road;;;;;;;;;;;;;
early_railroad;Turnpike Road;;;;;;;;;;;;;
iron_railroad;Wooden Railway;;;;;;;;;;;;;
steel_railroad;Horse-drawn Waggonway;;;;;;;;;;;;;
integral_rail_system;Trésaguet's Road;;;;;;;;;;;;;
limited_access_roads;Iron Plateways;;;;;;;;;;;;;
tech_infrastructure_7;Experimental Locomotives;;;;;;;;;;;;;
tech_infrastructure_8;Early Railroad;;;;;;;;;;;;;
basic_chemistry;Aristotelian Sciences;;;;;;;;;;;;;
medicine;Galilean Sciences;;;;;;;;;;;;;
inorganic_chemistry;Classical Sciences;;;;;;;;;;;;;
organic_chemistry;Empirical Sciences;;;;;;;;;;;;;
electricity;Natural History;;;;;;;;;;;;;
synthetic_polymers;Mathematics;;;;;;;;;;;;;
chemistry_and_electricity_7;Chemical Revolution;;;;;;;;;;;;;
chemistry_and_electricity_8;Medicinal Practices;;;;;;;;;;;;;
post_nelsonian_thought;Line Of Battle;;;;;;;;;;;;;
battleship_column_doctrine;Commerce Raiding;;;;;;;;;;;;;
raider_group_doctrine;Total Blockade;;;;;;;;;;;;;
blue_and_brown_water_schools;Command Of The Sea;;;;;;;;;;;;;
high_sea_battle_fleet;Firepower Doctrine;;;;;;;;;;;;;
modern_naval_doctrine;Breaking the Line;;;;;;;;;;;;;
naval_doctrine_7;Naval Manoeuvre;;;;;;;;;;;;;
naval_doctrine_8;Nelsonian Thought;;;;;;;;;;;;;
clipper_design;Ocean-going Vessels;;;;;;;;;;;;;
steamers;Ships of the Line;;;;;;;;;;;;;
iron_steamers;Three-deckers;;;;;;;;;;;;;
steel_steamers;Seventy-Four;;;;;;;;;;;;;
steam_turbine_ships;Copper Bottoms;;;;;;;;;;;;;
oil_driven_ships;Sloops-of-war;;;;;;;;;;;;;
ship_construction_7;Heavy First Rate;;;;;;;;;;;;;
ship_construction_8;Steam-powered Vessel;;;;;;;;;;;;;
naval_design_bureaus;Multi-masts Ships;;;;;;;;;;;;;
fire_control_systems;Steering Wheels;;;;;;;;;;;;;
weapon_platforms;Broadside Firing System;;;;;;;;;;;;;
main_armament;Early-modern Shipyards;;;;;;;;;;;;;
advanced_naval_design;Naval Design Bureaus;;;;;;;;;;;;;
modern_naval_design;Carronades;;;;;;;;;;;;;
naval_engineering_7;Copper Sheathing;;;;;;;;;;;;;
naval_engineering_8;Weapon Platforms;;;;;;;;;;;;;
alphabetic_flag_signaling;Seafaring Techniques;;;;;;;;;;;;;
naval_plans;Navigation Techniques;;;;;;;;;;;;;
naval_statistics;Marine Chronometer;;;;;;;;;;;;;
naval_logistics;Flag Signaling;;;;;;;;;;;;;
naval_directionism;Naval Administration;;;;;;;;;;;;;
naval_integration;Lemon Juice Supply;;;;;;;;;;;;;
naval_science_7;Lunar Distance Method;;;;;;;;;;;;;
naval_science_8;Naval Experience;;;;;;;;;;;;;
the_command_principle;Merchant Navy;;;;;;;;;;;;;
naval_professionalism;War Commission;;;;;;;;;;;;;
naval_decision_making;Admiralty;;;;;;;;;;;;;
naval_risk_management;Naval College;;;;;;;;;;;;;
naval_nco_training;Naval Infrastructure;;;;;;;;;;;;;
modern_naval_training;Professional Seamanship;;;;;;;;;;;;;
naval_leadership_7;The Command Principle;;;;;;;;;;;;;
naval_leadership_8;Naval Professionalism;;;;;;;;;;;;;
